"DISCHARG","RUNOFF","AREA","DENSITY","NO3","DEP","NPREC","PREC"
223,18.3,1220,102,67,1237.5,46,84.8
175000,24.8,7050000,1,3,120.6,2.1,181.1
7.29,45.6,160,7.15,3.6,86.5,2.6,104.9
336,19.1,17600,100,61,851.7,25,107.4
3550,16.1,220000,2,6.4,739.7,16,145.8
16000,14.9,1070000,300,91.3,294.3,5.8,160
706,16.9,41770,12,24,975,45,68.3
560,16.1,34700,150,47.8,851.7,25,107.4
1900,6.1,312000,0.4,1.1,60.9,7,27.4
10600,5.9,1787000,0.15,5.7,73.9,7,33.3
7500,31.3,240000,30,17,87.5,2.6,106.2
317,9.1,34900,250,230,742.3,36,65
16100,5,3220000,30,63,691.7,19,114.8
318.2,0.3,1073000,1.5,15,74.8,4.4,53.6
7000,6.2,1125000,20,7,555.2,9.6,181.6
170,0.2,1020000,20,50,154.9,23,18.1
33900,33.9,1e+06,2,6,92.5,3,97.3
15900,5.7,2800000,10,14.2,216.2,9.9,75.8
1470,22,66700,232,102,1237.5,46,84.8
2200,11.9,185300,300,286,1647.9,60,86.6
1700,17.7,96000,100,57.2,695.9,30,73.2
190,13.5,14000,35,54,252.8,8.6,92.7
1100,22,50000,1,6.1,76.8,1,242.1
10700,10.4,1025000,15,16,673.2,21,101.1
1100,15.1,73000,100,66,821.5,25,103.6
78,7.8,9950,400,520,1125.1,61,58.2
3850,10.5,365000,10,29,355.6,13.7,86.1
1100,5.5,2e+05,120,70.5,832.8,47,55.9
8200,6.1,1350000,50,30,151.8,13,36.8
29000,15.4,1900000,200,58.2,370.5,10,116.8
6180,7.4,831000,0.4,9.3,185.4,7.8,78.5
